"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Sweden","SWE","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2270000576973","5.28099989891052","5.31599980592727","5.25400000810623","5.18100011348725","4.966000020504","4.86800009012222","4.83399987220764","4.58400005102158","4.08700001239777","4.37499988079071","4.32900011539459","3.92800006270408","4.09299993515015","4.14200001955033","4.14099994301796","4.2790000140667","4.34799978137017","4.61299988627434","4.68300020694733","4.3490000963211","4.22799995541572","4.52000015974045","4.54800017178059","4.52900013327598","4.42599982023239","4.28899991512299","4.27299988269806","4.2589999139309",
"Sweden","SWE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.8079986572266","61.7169990539551","57.8689994812012","57.1430015563965","58.0299987792969","57.492000579834","56.5660018920898","57.1809997558594","58.193000793457","58.9519996643066","59.6290016174316","59.3889999389648","59.0589981079102","58.1660003662109","58.1599998474121","58.8160018920898","59.7130012512207","59.814998626709","58.0009994506836","57.7089996337891","58.4309997558594","58.382999420166","58.7290000915527","58.8769989013672","59.2270011901855","59.5550003051758","59.9640007019043","60.1800003051758","59.9539985656738",
"Sweden","SWE","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0479965209961","71.4599990844727","68.2060012817383","64.1699981689453","63.3269996643066","62.9422988891602","55.4552993774414","54.4911994934082","54.8036003112793","56.2476997375488","57.1052017211914","59.7710990905762","59.5525016784668","59.2686996459961","58.3507995605469","58.1594009399414","58.8755989074707","59.7629013061523","59.9487991333008","58.0234985351563","64.4607009887695","65.39990234375","65.4599990844727","65.7445983886719","66.2320022583008","66.6504974365234","67.053596496582","67.8379974365234","68.5350036621094","",
"Sweden","SWE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.1569976806641","65.2890014648438","60.9440002441406","60.5719985961914","61.7709999084473","60.9440002441406","60.273998260498","61.0439987182617","61.7360000610352","62.6150016784668","63.492000579834","63.0229988098145","62.4589996337891","61.6539993286133","61.951000213623","62.8250007629395","63.7140007019043","63.8650016784668","61.4939994812012","61.5800018310547","62.0989990234375","61.7280006408691","62.076000213623","62.0719985961914","62.2560005187988","62.4379997253418","62.9129981994629","63.0279998779297","62.7729988098145",
"Sweden","SWE","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.1510009765625","74.2919998168945","70.3050003051758","65.8320007324219","65.3109970092773","64.8907012939453","58.5976982116699","58.1309013366699","59.1996002197266","60.0970001220703","60.7083015441895","63.6440010070801","63.2249984741211","62.6949996948242","61.8712005615234","62.0041999816895","62.9356002807617","63.8120002746582","64.1391983032227","61.4892997741699","67.4646987915039","68.1383972167969","67.8627014160156","68.1644973754883","68.6082992553711","68.8065032958984","68.9656982421875","69.9116973876953","70.6751022338867","",
"Sweden","SWE","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6319999694824","58.2879981994629","54.9179992675781","53.8530006408691","54.4410018920898","54.1780014038086","53.0050010681152","53.4700012207031","54.7879981994629","55.4280014038086","55.9070014953613","55.8819999694824","55.7750015258789","54.7910003662109","54.484001159668","54.9199981689453","55.818000793457","55.8629989624023","54.5849990844727","53.9150009155273","54.8289985656738","55.0919990539551","55.431999206543","55.726001739502","56.2350006103516","56.7019996643066","57.0419998168945","57.3549995422363","57.1549987792969",
"Sweden","SWE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.9260025024414","68.6100006103516","66.0910034179688","62.4959983825684","61.3279991149902","60.9734001159668","52.4462013244629","50.9915008544922","50.5774993896484","52.5497016906738","53.638801574707","56.0407981872559","56.0093994140625","55.9581985473633","54.9444007873535","54.435001373291","54.9396018981934","55.8256988525391","55.8768005371094","54.6296997070313","61.3889007568359","62.5957984924316","63","63.2667007446289","63.7957000732422","64.4358978271484","65.0845031738281","65.6966018676758","66.3231964111328","",
"Sweden","SWE","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5799999237061","31.1599998474121","32.25","30.5400009155273","31.6399993896484","31.9099998474121","31.7299995422363","31.0200004577637","30.8199996948242","31.1299991607666","31.3199996948242","33.5099983215332","34.5","35.5200004577637","37.4700012207031","39.7900009155273","39.5099983215332","39.4300003051758","39.3499984741211","",
"Sweden","SWE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3079996109009","12.3629999160767","12.3990001678467","12.33899974823","12.2589998245239","12.2089996337891","11.75","11.4219999313354","11.4659996032715","11.0830001831055","10.6929998397827","10.6979999542236","10.3800001144409","10.5059995651245","10.7819995880127","10.6999998092651","10.5970001220703","10.4079999923706","10.6879997253418","10.9460000991821","10.418999671936","10.4499998092651","10.5900001525879","10.3319997787476","10.253999710083","9.98900032043457","9.85599994659424","9.82600021362305","9.80500030517578",
"Sweden","SWE","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2689990997314","17.4050006866455","17.4829998016357","17.3570003509521","17.2240009307861","17.3169994354248","16.4689998626709","15.7670001983643","16.1100006103516","15.8819999694824","15.1920003890991","15.3039999008179","14.9630002975464","15.0340003967285","15.3290004730225","15.1510000228882","14.8990001678467","14.4300003051758","14.7399997711182","14.9700002670288","14.3879995346069","14.548999786377","14.5500001907349","14.0869998931885","13.9350004196167","13.543999671936","13.5839996337891","13.5469999313354","13.5159997940063",
"Sweden","SWE","Self-employed, female (% of female employment) (modeled ILO estimate)","SL.EMP.SELF.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.87599992752075","6.94199991226196","6.9850001335144","6.92399978637695","6.85300016403198","6.69399976730347","6.59800004959106","6.6560001373291","6.43499994277954","5.86800003051758","5.77099990844727","5.68699979782104","5.4210000038147","5.57499980926514","5.76900005340576","5.75299978256226","5.81400012969971","5.92000007629395","6.22100019454956","6.44199991226196","6.00600004196167","5.93300008773804","6.22300004959106","6.20699977874756","6.22900009155273","6.11700010299683","5.78299999237061","5.76900005340576","5.75600004196167",
"Sweden","SWE","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.88199996948242","3.87899994850159","3.88000011444092","3.88000011444092","3.88000011444092","4.11100006103516","4.1710000038147","4.05700016021729","4.09899997711182","3.94799995422363","3.72699999809265","3.74300003051758","3.75399994850159","3.65199995040894","3.91700005531311","3.90400004386902","3.91199994087219","3.76600003242493","3.75999999046326","3.91599988937378","3.66599988937378","3.76799988746643","3.80900001525879","3.61400008201599","3.57599997520447","3.64000010490417","3.60400009155273","3.59100008010864","3.58200001716614",
